Date,TeaPrice_USD_kg,Price_Change,anomaly_flag,anomaly_score,is_anomaly
1971-11-01,0.6930543,-1.687927173625936,0,-0.45685724664388666,False
1971-12-01,0.7022277,1.3236192315666973,0,-0.47460053268659436,False
1972-01-01,0.7460141,6.235356423564609,0,-0.4882356274908098,False
1972-02-01,0.782494,4.889974599675795,0,-0.47255493625572687,False
1972-03-01,0.8244459,5.3613062847766235,0,-0.47069593952316263,False
1972-04-01,0.809854,-1.7699038833233316,0,-0.43804683067308037,False
1972-05-01,0.802558,-0.9009031257485867,0,-0.42842329132245066,False
1972-06-01,0.7350701,-8.409099404653631,0,-0.4335761474962576,False
1972-07-01,0.5455723,-25.77955490231475,1,-0.5753564517084332,True
1972-08-01,0.6359375,16.563377576170947,0,-0.48730376744991827,False
1972-09-01,0.69375,9.090909090909083,0,-0.4471159361146119,False
1972-10-01,0.632931,-8.7667027027027,0,-0.47515629294711637,False
1972-11-01,0.5837871,-7.764495655924586,0,-0.4937905892497512,False
1972-12-01,0.6031651,3.3193607738163378,0,-0.4878887092799462,False
1973-01-01,0.6023916,-0.12824017835249002,0,-0.4741394148854744,False
1973-02-01,0.6574131,9.133842503779931,0,-0.47642106254492617,False
1973-03-01,0.6958561,5.847616970212499,0,-0.45774409324833754,False
1973-04-01,0.6926475,-0.4611010810999572,0,-0.4347508819365016,False
1973-05-01,0.6361446,-8.157526014314643,0,-0.4568477760744875,False
1973-06-01,0.6047198,-4.939883164928216,0,-0.44997846447931644,False
1973-07-01,0.6309969,4.345334814570312,0,-0.44443548544722883,False
1973-08-01,0.7366071,16.73703943711926,0,-0.5209554196861185,False
1973-09-01,0.7370892,0.06544873108065286,0,-0.45319217418393504,False
1973-10-01,0.6696567,-9.148485692098053,0,-0.46993074616573605,False
1973-11-01,0.6302457,-5.885254340022284,0,-0.4673403122522267,False
1973-12-01,0.6453541,2.397223812871707,0,-0.46738091279953087,False
1974-01-01,0.6764275,4.814938031694527,0,-0.47623047150737113,False
1974-02-01,0.6921172,2.319494698249258,0,-0.45089087533101996,False
1974-03-01,0.8626103,24.633559171770347,1,-0.568443499096423,True
1974-04-01,0.8622277,-0.0443537481525591,0,-0.4540032313351544,False
1974-05-01,0.8406738,-2.4997921082795194,0,-0.435924741013539,False
1974-06-01,0.9076923,7.971998175749029,0,-0.4605372743922946,False
1974-07-01,0.9263513,2.0556525597936526,0,-0.4389670666464696,False
1974-08-01,0.9663738,4.320445170207021,0,-0.4432027048304734,False
1974-09-01,0.9606205,-0.5953493358367035,0,-0.4297608982006296,False
1974-10-01,0.9605361,-0.00878598780683637,0,-0.43219490012379086,False
1974-11-01,0.9980577,3.90631856522623,0,-0.4451479553345721,False
1974-12-01,1.024951,2.694563650979287,0,-0.4587835146179444,False
1975-01-01,1.018491,-0.6302740326122769,0,-0.4522011644894015,False
1975-02-01,1.064124,4.48045196275666,0,-0.45170768265246536,False
1975-03-01,1.032988,-2.925974792411412,0,-0.43540495707440313,False
1975-04-01,0.9577421,-7.284295654935002,0,-0.42970962865323453,False
1975-05-01,0.9003745,-5.989879739023696,0,-0.4410760800215393,False
1975-06-01,0.8458949,-6.05077109580513,0,-0.44751282428683864,False
1975-07-01,0.8252288,-2.4431049294658225,0,-0.43465449003395557,False
1975-08-01,0.8585998,4.043848203068046,0,-0.42606392200950965,False
1975-09-01,0.7955002,-7.349128196861921,0,-0.4489149732204051,False
1975-10-01,0.7523885,-5.419445526223621,0,-0.4645692974787257,False
1975-11-01,0.7567781,0.5834219954185871,0,-0.45015934049892525,False
1975-12-01,0.7688305,1.5925936545996722,0,-0.4626550352896753,False
1976-01-01,0.8582912,11.635945764378498,0,-0.4942398430586458,False
1976-02-01,0.8180993,-4.682781321770523,0,-0.4440255151639642,False
1976-03-01,0.8459291,3.401763086705989,0,-0.431118292666757,False
1976-04-01,0.8870181,4.8572628604454104,0,-0.4375882388609113,False
1976-05-01,0.8645025,-2.538347300917543,0,-0.4264688988960343,False
1976-06-01,0.8578686,-0.7673662019485161,0,-0.41512416917213535,False
1976-07-01,0.9470046,10.390402446248759,0,-0.4825343908241011,False
1976-08-01,1.031106,8.88078051574408,0,-0.4737333820808251,False
1976-09-01,1.005054,-2.5266073517174914,0,-0.436725870591318,False
1976-10-01,1.023298,1.8152258485613748,0,-0.4415288851139205,False
1976-11-01,0.983945,-3.845702815797558,0,-0.43709093239069474,False
1976-12-01,1.008692,2.515079603026593,0,-0.45751635921377876,False
1977-01-01,1.155074,14.512061164359391,0,-0.5319168761139882,False
1977-02-01,1.695557,46.792067001767855,1,-0.6366685150708262,True
1977-03-01,2.423106,42.90914431068966,1,-0.6535819559368727,True
1977-04-01,3.55888,46.872650226609956,1,-0.7023328837508239,True
1977-05-01,2.2605,-36.48282605763611,1,-0.642461912008364,True
1977-06-01,1.631897,-27.8081397920814,1,-0.6007186066333495,True
1977-07-01,1.618172,-0.8410457277634564,0,-0.5433313788444474,False
1977-08-01,1.550663,-4.171929807214559,0,-0.5401356753118901,False
