Date,TeaPrice_USD_kg
1994-12-01,1.327972
1995-01-01,1.364262
1995-02-01,1.377246
1995-03-01,1.363096
1995-04-01,1.361928
1995-05-01,1.308731
1995-06-01,1.204146
1995-07-01,1.222782
1995-08-01,1.398069
1995-09-01,1.566794
1995-10-01,1.616761
1995-11-01,1.802234
1995-12-01,1.479748
1996-01-01,1.715647
1996-02-01,1.783177
1996-03-01,1.921497
1996-04-01,1.931025
1996-05-01,1.839466
1996-06-01,1.741527
1996-07-01,1.855392
1996-08-01,1.954701
1996-09-01,2.104617
1996-10-01,2.141606
1996-11-01,1.856011
1996-12-01,1.824765
1997-01-01,1.765621
1997-02-01,1.817979
1997-03-01,1.784457
1997-04-01,1.917767
1997-05-01,1.982243
1997-06-01,2.019573
1997-07-01,1.953914
1997-08-01,2.09584
1997-09-01,2.177891
1997-10-01,2.238921
1997-11-01,2.225626
1997-12-01,2.261597
1998-01-01,2.377544
1998-02-01,2.363436
1998-03-01,2.338199
1998-04-01,2.200361
1998-05-01,2.214567
1998-06-01,2.043
1998-07-01,1.9787
1998-08-01,2.0287
1998-09-01,1.9104
1998-10-01,1.8387
1998-11-01,1.8761
1998-12-01,1.726
1999-01-01,1.7988
1999-02-01,1.5386
1999-03-01,1.4709
1999-04-01,1.4741
1999-05-01,1.458
1999-06-01,1.4434
1999-07-01,1.6031
1999-08-01,1.678
1999-09-01,1.8387
1999-10-01,1.8664
1999-11-01,1.8396
1999-12-01,1.7823
2000-01-01,1.8273
2000-02-01,1.808
2000-03-01,1.8245
2000-04-01,1.8111
2000-05-01,1.7102
2000-06-01,1.5749
2000-07-01,1.6748
2000-08-01,1.7564
2000-09-01,1.8756
2000-10-01,1.9144
2000-11-01,1.8724
2000-12-01,1.8705
2001-01-01,1.8511
2001-02-01,1.7851
2001-03-01,1.7584
2001-04-01,1.6529
2001-05-01,1.4877
2001-06-01,1.4448
2001-07-01,1.4357
2001-08-01,1.518
2001-09-01,1.5812
2001-10-01,1.6074
2001-11-01,1.6679
2001-12-01,1.6091
2002-01-01,1.6557
2002-02-01,1.7024
2002-03-01,1.7
2002-04-01,1.5977
2002-05-01,1.4779
2002-06-01,1.4256
2002-07-01,1.3913
2002-08-01,1.5012
2002-09-01,1.6097
2002-10-01,1.6113
2002-11-01,1.5367
2002-12-01,1.5347
2003-01-01,1.59268
2003-02-01,1.48862
2003-03-01,1.465689
2003-04-01,1.433609
2003-05-01,1.444441
2003-06-01,1.431108
2003-07-01,1.4943
2003-08-01,1.5542
2003-09-01,1.610164
2003-10-01,1.675595
2003-11-01,1.672971
2003-12-01,1.629681
2004-01-01,1.64071516848
2004-02-01,1.66252477272
2004-03-01,1.72020568011
2004-04-01,1.72282557679
2004-05-01,1.71572338035
2004-06-01,1.53227607219
2004-07-01,1.62971663486
2004-08-01,1.81812905379
2004-09-01,1.88855828081
2004-10-01,1.99650553739
2004-11-01,2.03555739551
2004-12-01,2.00850073225
2005-01-01,1.95258635397
2005-02-01,1.91113187723
2005-03-01,1.94135333809
2005-04-01,1.88550020958
2005-05-01,1.76026437012
2005-06-01,1.64917395044
2005-07-01,1.64326527438
2005-08-01,1.75583259905
2005-09-01,1.88531809673
